Item,Price (INR),Description,Category,Image Filename,Image Search URL
Apricot Delight,159,A creamy and rich delectable dessert made with finest apricots,Desserts,apricot_delight.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Apricot%20Delight%20food
Choco Mousse,90,"Soft and creamy chocolate mousse, perfect for a sweet treat",Desserts,choco_mousse.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Choco%20Mousse%20food
Rainbow Pastry,180,Soft and colorful layered pastry,Desserts,rainbow_pastry.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Rainbow%20Pastry%20food
Honey Trat,39,Sweet bakery treat,Desserts,honey_trat.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Honey%20Trat%20food
Tres Leches,90,Spongy cake soaked with three types of milk and served with dry fruits,Desserts,tres_leches.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Tres%20Leches%20food
Choco Lava,90,"Vanilla and brownie chocolate ice cream with Oreo, choco chips and molten lava cake",Desserts,choco_lava.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Choco%20Lava%20food
Brownie,69,Square or rectangular chocolate baked confection,Desserts,brownie.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Brownie%20food
Death By Chocolate (500gms),279,Rich chocolate dessert,Desserts,death_by_chocolate_500gms.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Death%20By%20Chocolate%20%28500gms%29%20food
Malai Biscoff,130,Creamy Biscoff dessert,Desserts,malai_biscoff.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Malai%20Biscoff%20food
Passion Delight,210,Fruity creamy dessert,Desserts,passion_delight.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Passion%20Delight%20food
Vanilla Cake,455,Classic creamy vanilla-flavoured cake,Cakes,vanilla_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Vanilla%20Cake%20food
Strawberry Cake,159,Soft strawberry-flavoured cake,Cakes,strawberry_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Strawberry%20Cake%20food
Rasmalai Cake,780,Fusion of traditional rasmalai flavours with moist cake,Cakes,rasmalai_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Rasmalai%20Cake%20food
Mango Cake,455,Cake with fresh mango flavour,Cakes,mango_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Mango%20Cake%20food
Blackcurrant Cake,130,Blackcurrant-flavoured cake/dessert,Cakes,blackcurrant_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Blackcurrant%20Cake%20food
Chocochips,715,Crunchy chocolate-chip cake/treat,Cakes,chocochips.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Chocochips%20food
Dutch Truffle Cake,780,Rich chocolate truffle cake,Cakes,dutch_truffle_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Dutch%20Truffle%20Cake%20food
Butterscotch Cake,520,Cake with buttery sauce and butterscotch chunks,Cakes,butterscotch_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Butterscotch%20Cake%20food
Semi Fondant Cakes,1300,Decorative semi-fondant cake,Cakes,semi_fondant_cakes.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Semi%20Fondant%20Cakes%20food
Tiramisu Cake,130,Creamy chocolate and coffee-mascarpone style cake,Cakes,tiramisu_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Tiramisu%20Cake%20food
Gulab Jamun Cake,650,Indian gulab jamun inspired fusion cake,Cakes,gulab_jamun_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Gulab%20Jamun%20Cake%20food
Black Forest Cake,585,Chocolate cake with cream/chocolate and cherry-style flavour,Cakes,black_forest_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Black%20Forest%20Cake%20food
Fondant Cake [Full],1500,Full fondant decorated cake,Cakes,fondant_cake_full.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Fondant%20Cake%20%5BFull%5D%20food
Rasgulla Cake,650,Fusion cake inspired by rasgulla,Cakes,rasgulla_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Rasgulla%20Cake%20food
White Forest Cake,585,Vanilla sponge with white chocolate mousse and flakes,Cakes,white_forest_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20White%20Forest%20Cake%20food
Photo Cakes,300,Custom photo-decorated cake,Cakes,photo_cakes.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Photo%20Cakes%20food
Rainbow Cake,910,Colorful layered rainbow cake,Cakes,rainbow_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Rainbow%20Cake%20food
Pineapple Cake,520,Cake layered with pineapple compote and cream,Cakes,pineapple_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Pineapple%20Cake%20food
Extra Designs,200,Additional cake decoration/design,Cake Add-ons,extra_designs.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Extra%20Designs%20food
Extra Milkmaid,200,Additional Milkmaid topping/filling,Cake Add-ons,extra_milkmaid.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Extra%20Milkmaid%20food
Litchi Cake,585,Litchi-flavoured cake,Cakes,litchi_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Litchi%20Cake%20food
Butterfly and Balls,200,Decorative cake topper/design,Cake Add-ons,butterfly_and_balls.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Butterfly%20and%20Balls%20food
Swiss Chocolate Cake,650,Rich chocolate cake with smooth chocolate cream,Cakes,swiss_chocolate_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Swiss%20Chocolate%20Cake%20food
